candidate_name,end_date,daily_average,model,drift_pred
Donald Trump,2024-09-05,46.325,48.68928908801222,
Donald Trump,2024-09-06,48.166666666666664,48.19149303485279,
Donald Trump,2024-09-07,46.0,47.81026048260959,
Donald Trump,2024-09-08,47.22545454545455,47.30988692668216,
Donald Trump,2024-09-09,46.1,46.89441164153358,
Donald Trump,2024-09-10,46.0,46.43032960128439,
Donald Trump,2024-09-11,46.25,45.977351224626474,
Donald Trump,2024-09-12,47.62,45.564020471595114,
Donald Trump,2024-09-13,46.15,45.27377991843401,
Donald Trump,2024-09-14,45.9,44.939009024276785,
Donald Trump,2024-09-15,47.23333333333333,44.62433302592686,
Donald Trump,2024-09-16,46.47777777777778,44.4351059992333,
Donald Trump,2024-09-17,47.57142857142857,44.25126663044263,
Donald Trump,2024-09-18,47.433181818181815,44.18608444180029,
Donald Trump,2024-09-19,45.833333333333336,44.17082613163802,
Donald Trump,2024-09-20,47.857142857142854,44.103769681569425,
Donald Trump,2024-09-21,47.857142857142854,44.20318718759169,
Donald Trump,2024-09-22,46.0,44.357924086860436,
Donald Trump,2024-09-23,47.0,44.43916125087541,
Donald Trump,2024-09-24,48.4625,44.60859039605019,
Donald Trump,2024-09-25,47.72941176470588,44.906262592431396,
Donald Trump,2024-09-26,46.55,45.19897872857136,
Donald Trump,2024-09-27,47.0,45.44038032064761,
Donald Trump,2024-09-28,48.85,45.71794555782937,
Donald Trump,2024-09-29,47.771428571428565,46.12581143144785,
Donald Trump,2024-09-30,48.285714285714285,46.486508122766516,
Donald Trump,2024-10-01,47.371428571428574,46.88457116692218,
Donald Trump,2024-10-02,47.5,47.22504992033012,
Donald Trump,2024-10-03,46.75,47.55946998381079,
Donald Trump,2024-10-04,45.53333333333333,47.82631278938455,
Donald Trump,2024-10-05,45.0,47.98114596032144,
Donald Trump,2024-10-06,45.25,48.05238189769952,
Donald Trump,2024-10-07,47.666666666666664,48.086316736896656,
Donald Trump,2024-10-08,48.78333333333333,48.23246394130847,
Donald Trump,2024-10-09,47.48333333333333,48.43622646380143,
Donald Trump,2024-10-10,47.4,48.54907812351702,
Donald Trump,2024-10-11,47.75,48.633160744542124,
Donald Trump,2024-10-12,46.0,48.71596708223104,
Donald Trump,2024-10-13,46.6,48.66231964617869,
Donald Trump,2024-10-14,48.06666666666667,48.60732630776701,
Donald Trump,2024-10-15,47.473684210526315,48.61949508553109,
Donald Trump,2024-10-16,48.41111111111111,48.58250042216237,
Donald Trump,2024-10-17,48.827777777777776,48.59139891335897,
Donald Trump,2024-10-18,46.525,48.624586064591995,
Donald Trump,2024-10-19,47.5,48.50633179930871,
Donald Trump,2024-10-20,48.27222222222222,48.42613577260099,
Donald Trump,2024-10-21,46.333333333333336,48.38602108475852,
